발전기명,R²,RMSE,데이터 수
경상대태양광,0.619,0.7835,1096
고흥만 수상태양광,0.8595,39.199,488
광양항세방태양광,0.6913,2.3083,1096
구미태양광,0.6394,0.8371,1096
당진태양광,0.6227,2.3985,1187
동해바이오화력본부 태양광,0.5812,1.4905,1187
보령태양광,0.756,2.2986,700
서울태양광,0.6298,1.1422,700
서천태양광,0.653,3.2735,700
세종태양광,0.7867,0.1973,700
신보령태양광,0.6274,3.6357,700
여수엑스포태양광,0.7423,1.6869,700
영흥태양광,0.6662,5.0412,1096
예천태양광,0.5044,2.3432,1095
울산태양광#1,0.5307,0.499,1184
인천아시아드태양광,0.8746,1.5705,275
인천태양광,0.798,0.9345,678
제주대태양광,0.6387,1.0684,700
제주성읍리태양광,0.5353,2.1945,700
제주태양광,0.6967,0.9041,700
