발전기명,데이터수,R²,RMSE,절편,설비용량(MW),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
경상대태양광,1092,0.7074171827184941,0.6646316491889902,2.0170866422559395,0.0,0.022059591146715466,-0.0031361484632643983,0.08573822437675165,-0.016951533384767885,0.2481726843521771,-0.0058204513113122944
고흥만 수상태양광,487,0.8195901069750109,46.789563496659284,131.02304839983407,0.0,0.2700589296597566,-0.3980651073659514,-0.11285786772522152,-0.8487838628287856,11.317285966739428,3.1884952434501006
광양항세방태양광,1094,0.7912015128279026,1.959459479532074,4.338909810550195,0.0,0.16500811866068094,-0.0154693334233139,0.1496034131333647,-0.04779874290270949,0.609084997533843,0.061883946990397655
구미태양광,1091,0.7526564368245566,0.6997042114285811,2.2985905088196583,0.0,0.00015658377265501553,-0.0025095803381742737,-0.05337852768860832,-0.014633345094961515,0.2798276453464406,0.006235038760560317
당진태양광,1185,0.7876529113501525,1.9058123814082728,4.150114026176471,0.0,0.042477084159473585,-0.02046897670974074,0.13603349446924248,-0.026409257390993018,0.6701919181382768,0.07307144783658372
동해바이오화력본부 태양광,1172,0.7396076162078207,1.3103135671166175,-0.16956702333316542,0.0,0.03484621149004094,-0.022187850950985265,0.19813614276223074,0.014050164025233113,0.4643844426805151,0.022672244846005742
보령태양광,692,0.8718578047453147,1.814041060285164,18.335244778311285,-3.7603318825754437,0.05558781118348618,-0.010867570476394138,-0.31831479311281735,-0.05746053070027157,0.7675734632548382,0.10952167272510756
서울태양광,694,0.8703543576039424,0.7283789092191283,3.0387321380281564,0.0,0.01474434531401267,-0.010923641815723927,0.03693968689944358,-0.024175847839309803,0.33787653403099077,0.027679236074589636
서천태양광,693,0.8302311005396199,2.586075236798685,11.208291441698428,0.0,0.09046207220427185,-0.016593874313827126,-0.3601215000660592,-0.10616823855553528,0.6001680480811366,0.17144219133368122
세종태양광,698,0.9259153624588001,0.12792524787436468,0.7300989337173498,0.0,0.009191440577927557,-0.0018057071317282554,0.022821762505210296,-0.006773148959120763,0.08541524585710916,0.00512266524635497
신보령태양광,692,0.8525388152702398,2.522956187545545,8.055416052283748,0.0,0.09060293015929365,-0.017059514280828823,-0.2317788157219635,-0.07141428309267836,1.1590335440614294,0.10275741212205404
여수엑스포태양광,698,0.870645355985276,1.2290996272567956,5.321390871229164,0.0,-0.018115093793645752,-0.010365327894458015,-0.009689395784645335,-0.03653538507281088,0.6286776773339744,0.04876730556169965
영흥태양광,1096,0.7991170834118037,3.9105691877640627,8.74205125852717,0.0,0.10109488323802825,-0.03591201790681154,0.1298203403378124,-0.06038188123654722,1.487958788984308,0.10664674488800334
예천태양광,1091,0.5750486544358198,2.195992365121657,7.691321072528251,0.0,0.0375432573382057,-0.005701078761926167,-0.5364504185711758,-0.07152985674886907,0.5212226500180441,-0.0015417779618952675
울산태양광#1,1184,0.7381765045174418,0.3727088712212236,0.5853695878491358,0.0,0.007782739586426264,-0.004553924521430127,-0.0009008874209875897,-0.0024819441631724714,0.12259066535347277,0.013770736307407036
인천아시아드태양광,275,0.6270092960182307,2.7085637018135484,-6.082594626588063,2.0589811524731196,0.13261764017825783,-0.014858075576994088,-0.2480191787380193,0.007844716044977046,0.3946718824792967,0.16527067840591345
인천태양광,678,0.8552455871036737,0.7912131707893653,1.6799699689848393,0.0,0.022595189247884936,-0.009955391697945477,0.0701440952189253,-0.01436781383505915,0.3275783634104474,0.03702338162165927
제주대태양광,689,0.8423134590046287,0.7186118165173023,1.9486321398013382,0.0,-0.019537297178903863,-0.002172649273769689,-0.07772750492541003,-0.009329457667386905,0.2892268481009239,0.026711882871817007
제주성읍리태양광,699,0.5793798241191306,2.0124892126497564,2.795412132300303,0.0,-0.06833844507441555,-0.007178587080939834,-0.44624638014686524,0.006753550631667346,0.2971327961692512,0.1407957263347978
제주태양광,689,0.8802610087779172,0.6102419430111136,0.6684748484176128,0.0,0.012840082071864737,-0.006669503914044035,0.01519098119073509,-0.003436914050267605,0.2914039154573509,0.03181648962586832
