발전기명,데이터수,R²,RMSE,MAPE(%),NRMSE(평균),절편,정확도 수준,설비용량(MW),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
경상대태양광,1046,0.8554,0.4704,24.55,0.168,1.8412,👍 양호,0.0,0.0244,-0.0031,0.1637,-0.0155,0.2593,-0.0048
고흥만 수상태양광,483,0.8203,42.8369,21.99,0.199,77.5031,👍 양호,0.0,0.0512,-0.3875,-3.1333,-0.1575,12.8186,3.3316
광양항세방태양광,1068,0.8121,1.8039,29.61,0.211,4.1813,⚖️ 보통,0.0,0.1865,-0.0153,0.3018,-0.0506,0.6598,0.0466
구미태양광,1070,0.86,0.5176,20.81,0.157,2.1355,👍 양호,0.0,0.0032,-0.0028,0.0615,-0.0134,0.2932,0.0036
당진태양광,1165,0.8054,1.7921,2091.41,0.212,5.5405,⚖️ 보통,0.0,0.0495,-0.019,0.121,-0.0419,0.6493,0.0722
동해바이오화력본부 태양광,1163,0.7388,1.2942,693.06,0.252,-0.3888,⚖️ 보통,0.0,0.0408,-0.0268,0.2596,0.0149,0.4748,0.021
보령태양광,700,0.8647,1.7119,34.05,0.152,5.9058,👍 양호,0.3093,0.0507,-0.0086,-0.2698,-0.0618,0.7457,0.1134
서울태양광,691,0.8746,0.7178,536.31,0.15,3.0818,👍 양호,0.0,0.0113,-0.0109,0.0784,-0.026,0.3312,0.0336
서천태양광,698,0.7896,2.6172,1381.77,0.201,10.7777,⚖️ 보통,0.0,0.0832,-0.0168,-0.3246,-0.1,0.6072,0.1715
세종태양광,700,0.8971,0.137,13.43,0.122,0.7847,👍 양호,0.0,0.0086,-0.0015,0.0168,-0.0074,0.0838,0.0056
신보령태양광,695,0.8549,2.5347,29.52,0.181,8.0979,👍 양호,0.0,0.0774,-0.0164,-0.1726,-0.0699,1.0959,0.1235
여수엑스포태양광,694,0.9261,1.009,71.07,0.13,5.1939,👍 양호,0.0,-0.0131,-0.0093,-0.0008,-0.0352,0.6236,0.0501
영흥태양광,1087,0.7453,4.26,32.87,0.231,9.2886,⚖️ 보통,0.0,0.0961,-0.0312,0.1349,-0.0678,1.4693,0.1209
예천태양광,1008,0.7762,1.4227,45.71,0.221,6.0333,⚖️ 보통,0.0,0.0074,-0.0087,-0.2648,-0.0497,0.5387,0.0248
울산태양광#1,1157,0.761,0.3508,787.58,0.204,0.5744,⚖️ 보통,0.0,0.0107,-0.0049,0.0159,-0.0031,0.1286,0.0125
인천아시아드태양광,235,0.7964,1.1651,11.08,0.132,2.5185,👍 양호,0.8803,0.0024,-0.018,0.1711,-0.0409,0.3016,0.2165
인천태양광,678,0.8552,0.7912,61.28,0.188,1.68,👍 양호,0.0,0.0226,-0.01,0.0701,-0.0144,0.3276,0.037
제주대태양광,678,0.8369,0.7022,75.37,0.24,2.2959,⚖️ 보통,0.0,-0.0227,-0.0024,-0.0928,-0.0117,0.2955,0.0229
제주성읍리태양광,700,0.5932,2.0532,31.4,0.304,2.867,⚠️ 부정확,0.0,-0.0651,-0.0075,-0.4253,0.0053,0.2941,0.1378
제주태양광,698,0.8328,0.6664,27.99,0.213,0.5901,⚖️ 보통,0.0,0.0117,-0.0096,0.0038,-0.0014,0.2899,0.0312
