발전기명,데이터수,R²,RMSE,MAPE(%),NRMSE(평균),절편,정확도 수준,설비용량(MW),평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
경상대태양광,1046,0.6386,0.7437,39.83,0.265,5.3956,⚖️ 보통,0.0,0.035,-0.0548,0.0418
고흥만 수상태양광,483,0.7901,46.3038,24.82,0.215,101.8061,⚖️ 보통,0.0,-1.7617,-0.4726,6.7352
광양항세방태양광,1068,0.7157,2.2187,35.95,0.26,12.8034,⚖️ 보통,0.0,0.208,-0.1522,0.1642
구미태양광,1070,0.6652,0.8004,32.55,0.242,5.3735,⚖️ 보통,0.0,0.0122,-0.0532,0.0488
당진태양광,1165,0.6271,2.4806,1988.74,0.294,15.3752,⚖️ 보통,0.0,0.0226,-0.1477,0.2028
동해바이오화력본부 태양광,1163,0.5098,1.773,955.04,0.345,4.6412,⚠️ 부정확,0.0,0.0379,-0.0369,0.1195
보령태양광,700,0.6621,2.7049,62.68,0.24,3.9078,⚖️ 보통,2.8719,-0.0123,-0.1345,0.2762
서울태양광,691,0.7051,1.1006,733.67,0.23,6.6512,⚖️ 보통,0.0,-0.0228,-0.0649,0.1014
서천태양광,698,0.682,3.2171,1599.91,0.247,17.8667,⚖️ 보통,0.0,0.0488,-0.1828,0.3037
세종태양광,700,0.7451,0.2157,20.24,0.192,1.6941,👍 양호,0.0,0.0038,-0.0177,0.0208
신보령태양광,695,0.6602,3.879,47.32,0.277,17.9267,⚖️ 보통,0.0,-0.0049,-0.1853,0.3841
여수엑스포태양광,694,0.7365,1.9049,78.58,0.245,11.228,⚖️ 보통,0.0,-0.0346,-0.1105,0.2
영흥태양광,1087,0.548,5.6749,46.36,0.308,25.6155,⚠️ 부정확,0.0,0.0167,-0.242,0.4108
예천태양광,1008,0.5864,1.934,64.22,0.3,12.5479,⚠️ 부정확,0.0,0.0097,-0.1266,0.1048
울산태양광#1,1157,0.528,0.493,771.36,0.287,2.1218,⚖️ 보통,0.0,0.0197,-0.0231,0.0369
인천아시아드태양광,235,0.764,1.2543,11.84,0.142,2.3783,👍 양호,1.6468,-0.0446,-0.0585,0.3888
인천태양광,678,0.7305,1.0796,81.05,0.256,4.547,⚖️ 보통,0.0,-0.0076,-0.0442,0.114
제주대태양광,678,0.615,1.0788,207.87,0.368,3.0806,⚠️ 부정확,0.0,-0.037,-0.0257,0.095
제주성읍리태양광,700,0.4395,2.4102,36.36,0.357,5.8176,⚠️ 부정확,0.0,-0.0756,-0.039,0.1938
제주태양광,698,0.6482,0.9666,36.9,0.308,2.0186,⚠️ 부정확,0.0,-0.0133,-0.0195,0.1084
