지역,연,월,일사합 평균(MJ/m²)
대구광역시,2020,01,266.64
대구광역시,2020,02,375.31
대구광역시,2020,03,540.59
대구광역시,2020,04,647.86
대구광역시,2020,05,661.45
대구광역시,2020,06,632.61
대구광역시,2020,07,421.05
대구광역시,2020,08,534.44
대구광역시,2020,09,409.03
대구광역시,2020,10,442.4
대구광역시,2020,11,320.68
대구광역시,2020,12,304.57
대구광역시,2021,01,315.94
대구광역시,2021,02,372.05
대구광역시,2021,03,489.34
대구광역시,2021,04,616.96
대구광역시,2021,05,598.19
대구광역시,2021,06,594.91
대구광역시,2021,07,608.97
대구광역시,2021,08,453.3
대구광역시,2021,09,402.76
대구광역시,2021,10,425.96
대구광역시,2021,11,320.4
대구광역시,2021,12,308.9
대구광역시,2022,01,350.35
대구광역시,2022,02,416.9
대구광역시,2022,03,479.66
대구광역시,2022,04,614.53
대구광역시,2022,05,774.85
대구광역시,2022,06,603.39
대구광역시,2022,07,569.6
대구광역시,2022,08,449.78
대구광역시,2022,09,453.26
대구광역시,2022,10,457.38
대구광역시,2022,11,330.4
대구광역시,2022,12,298.9
대구광역시,2023,01,328.9
대구광역시,2023,02,352.59
대구광역시,2023,03,516.58
대구광역시,2023,04,560.34
대구광역시,2023,05,596.25
대구광역시,2023,06,635.54
대구광역시,2023,07,485.69
대구광역시,2023,08,534.68
대구광역시,2023,09,409.2
대구광역시,2023,10,457.45
대구광역시,2023,11,335.24
대구광역시,2023,12,264.12
대구광역시,2024,01,311.95
대구광역시,2024,02,258.08
대구광역시,2024,03,469.72
대구광역시,2024,04,511.52
대구광역시,2024,05,723.92
대구광역시,2024,06,644.38
대구광역시,2024,07,515.32
대구광역시,2024,08,634.38
대구광역시,2024,09,454.92
대구광역시,2024,10,347.7
대구광역시,2024,11,292.79
대구광역시,2024,12,304.49
