연도,월,일조합(hr),일사합(MJ/m²)
2020,1,153.6,269.38
2020,2,210.7,373.34
2020,3,238.0,509.5
2020,4,277.4,635.24
2020,5,245.5,644.3
2020,6,257.2,664.6
2020,7,111.4,431.95
2020,8,230.2,582.74
2020,9,166.2,435.91
2020,10,230.7,435.07
2020,11,190.7,309.79
2020,12,236.0,315.42
2021,1,211.5,317.21
2021,2,208.7,365.71
2021,3,204.5,465.65
2021,4,241.5,584.44
2021,5,219.0,606.02
2021,6,212.7,601.45
2021,7,235.8,618.63
2021,8,166.3,492.95
2021,9,136.9,401.12
2021,10,214.9,420.79
2021,11,220.4,339.06
2021,12,230.4,311.38
2022,1,235.2,336.79
2022,2,242.7,399.53
2022,3,211.5,474.17
2022,4,258.3,607.21
2022,5,318.2,745.91
2022,6,225.7,619.88
2022,7,183.9,540.96
2022,8,162.0,486.8
2022,9,134.7,398.33
2022,10,208.9,414.19
2022,11,210.8,330.22
2022,12,224.0,306.38
2023,1,223.2,326.88
2023,2,171.5,343.1
2023,3,231.5,514.37
2023,4,225.0,555.11
2023,5,200.0,565.3
2023,6,204.7,602.14
2023,7,166.9,533.64
2023,8,196.2,530.64
2023,9,142.9,397.48
2023,10,229.8,459.24
2023,11,209.2,347.51
2023,12,191.4,277.38
2024,1,197.5,309.49
2024,2,100.9,247.49
2024,3,215.1,481.87
2024,4,186.8,499.0
2024,5,273.1,711.7
2024,6,209.0,599.66
2024,7,193.6,564.56
2024,8,272.0,654.79
2024,9,167.7,453.19
2024,10,121.7,316.49
2024,11,152.6,289.55
2024,12,236.0,329.81
2025,1,223.5,346.79
2025,2,231.7,425.87
2025,3,205.6,485.17
2025,4,254.5,628.39
2025,5,235.5,627.16
2025,6,223.1,620.95
2025,7,283.9,707.52
2025,8,251.3,604.21
2025,9,121.6,386.34
2025,10,51.6,190.01
