지역,연,월,일사평균값(MJ/m²)
울산광역시,2020,01,293.16
울산광역시,2020,02,407.12
울산광역시,2020,03,557.89
울산광역시,2020,04,686.58
울산광역시,2020,05,662.46
울산광역시,2020,06,670.16
울산광역시,2020,07,414.73
울산광역시,2020,08,599.5
울산광역시,2020,09,449.3
울산광역시,2020,10,479.71
울산광역시,2020,11,347.03
울산광역시,2020,12,364.75
울산광역시,2021,01,364.97
울산광역시,2021,02,408.92
울산광역시,2021,03,516.23
울산광역시,2021,04,656.22
울산광역시,2021,05,620.2
울산광역시,2021,06,627.5
울산광역시,2021,07,636.32
울산광역시,2021,08,504.78
울산광역시,2021,09,388.99
울산광역시,2021,10,450.95
울산광역시,2021,11,378.63
울산광역시,2021,12,356.65
울산광역시,2022,01,395.49
울산광역시,2022,02,471.34
울산광역시,2022,03,489.36
울산광역시,2022,04,626.88
울산광역시,2022,05,819.74
울산광역시,2022,06,579.93
울산광역시,2022,07,578.34
울산광역시,2022,08,536.92
울산광역시,2022,09,424.0
울산광역시,2022,10,452.77
울산광역시,2022,11,381.7
울산광역시,2022,12,357.38
울산광역시,2023,01,381.42
울산광역시,2023,02,383.41
울산광역시,2023,03,550.24
울산광역시,2023,04,595.2
울산광역시,2023,05,612.4
울산광역시,2023,06,624.72
울산광역시,2023,07,531.87
울산광역시,2023,08,595.69
울산광역시,2023,09,446.8
울산광역시,2023,10,505.75
울산광역시,2023,11,393.75
울산광역시,2023,12,317.83
울산광역시,2024,01,353.32
울산광역시,2024,02,213.08
울산광역시,2024,03,529.28
울산광역시,2024,04,540.41
울산광역시,2024,05,767.7
울산광역시,2024,06,635.9
울산광역시,2024,07,577.63
울산광역시,2024,08,735.32
울산광역시,2024,09,520.53
울산광역시,2024,10,349.06
울산광역시,2024,11,330.8
울산광역시,2024,12,384.23
