전라남도,연,월,일사합 평균(MJ/m²)
전라남도,2020,01,239.5
전라남도,2020,02,322.15
전라남도,2020,03,503.66
전라남도,2020,04,625.79
전라남도,2020,05,567.31
전라남도,2020,06,559.3
전라남도,2020,07,384.99
전라남도,2020,08,507.81
전라남도,2020,09,411.75
전라남도,2020,10,448.11
전라남도,2020,11,281.72
전라남도,2020,12,259.03
전라남도,2021,01,268.3
전라남도,2021,02,330.19
전라남도,2021,03,501.44
전라남도,2021,04,601.62
전라남도,2021,05,616.62
전라남도,2021,06,623.55
전라남도,2021,07,582.25
전라남도,2021,08,519.76
전라남도,2021,09,377.8
전라남도,2021,10,430.9
전라남도,2021,11,307.61
전라남도,2021,12,271.54
전라남도,2022,01,324.74
전라남도,2022,02,389.39
전라남도,2022,03,462.97
전라남도,2022,04,614.44
전라남도,2022,05,745.87
전라남도,2022,06,545.01
전라남도,2022,07,575.89
전라남도,2022,08,491.59
전라남도,2022,09,456.07
전라남도,2022,10,472.73
전라남도,2022,11,320.82
전라남도,2022,12,268.33
전라남도,2023,01,308.41
전라남도,2023,02,363.0
전라남도,2023,03,518.6
전라남도,2023,04,520.04
전라남도,2023,05,559.82
전라남도,2023,06,578.2
전라남도,2023,07,413.87
전라남도,2023,08,598.62
전라남도,2023,09,450.53
전라남도,2023,10,456.13
전라남도,2023,11,297.23
전라남도,2023,12,225.89
전라남도,2024,01,286.76
전라남도,2024,02,268.46
전라남도,2024,03,471.39
전라남도,2024,04,500.92
전라남도,2024,05,712.07
전라남도,2024,06,584.92
전라남도,2024,07,513.22
전라남도,2024,08,670.6
전라남도,2024,09,516.97
전라남도,2024,10,364.14
전라남도,2024,11,299.56
전라남도,2024,12,278.42
